seuil,precision,rappel,video
10,0.878,0.9114,Pub_C+_176_144.mp4
11,0.8889,0.9114,Pub_C+_176_144.mp4
12,0.9114,0.9114,Pub_C+_176_144.mp4
13,0.9231,0.9114,Pub_C+_176_144.mp4
14,0.9231,0.9114,Pub_C+_176_144.mp4
15,0.9342,0.8987,Pub_C+_176_144.mp4
16,0.9444,0.8608,Pub_C+_176_144.mp4
17,0.9571,0.8481,Pub_C+_176_144.mp4
18,0.9701,0.8228,Pub_C+_176_144.mp4
10,0.9012,0.9241,Pub_C+_352_288_1.mp4
11,0.9231,0.9114,Pub_C+_352_288_1.mp4
12,0.9231,0.9114,Pub_C+_352_288_1.mp4
13,0.9231,0.9114,Pub_C+_352_288_1.mp4
14,0.9595,0.8987,Pub_C+_352_288_1.mp4
15,0.9589,0.8861,Pub_C+_352_288_1.mp4
16,0.9718,0.8734,Pub_C+_352_288_1.mp4
17,0.971,0.8481,Pub_C+_352_288_1.mp4
18,0.9697,0.8101,Pub_C+_352_288_1.mp4
10,0.9103,0.8987,Pub_C+_352_288_2.mp4
11,0.9221,0.8987,Pub_C+_352_288_2.mp4
12,0.9467,0.8987,Pub_C+_352_288_2.mp4
13,0.9467,0.8987,Pub_C+_352_288_2.mp4
14,0.9718,0.8734,Pub_C+_352_288_2.mp4
15,0.9718,0.8734,Pub_C+_352_288_2.mp4
16,0.9853,0.8481,Pub_C+_352_288_2.mp4
17,1,0.8481,Pub_C+_352_288_2.mp4
18,1,0.8101,Pub_C+_352_288_2.mp4
